Drug 1,Drug 2,Interaction Description
Azelastine,Omeprazole,The metabolism of Omeprazole can be decreased when combined with Azelastine.
Lapatinib,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Lapatinib.
Pentamidine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Pentamidine.
Hexobarbital,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Hexobarbital.
Valproic acid,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Valproic acid.
Rupatadine,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Rupatadine.
Progesterone,Esomeprazole,The metabolism of Esomeprazole can be decreased when combined with Progesterone.
Ibuprofen,Lobeglitazone,The metabolism of Lobeglitazone can be decreased when combined with Ibuprofen.
Omeprazole,Fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Omeprazole.
Acetaminophen,Zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Acetaminophen.
Lidocaine,Sulfamethoxazole,The metabolism of Sulfamethoxazole can be decreased when combined with Lidocaine.
Omeprazole,Bosutinib,The serum concentration of Bosutinib can be decreased when it is combined with Omeprazole.
Loratadine,Rosiglitazone,The metabolism of Rosiglitazone can be decreased when combined with Loratadine.
Hydrocortisone,Methyltestosterone,Hydrocortisone may increase the fluid retaining activities of Methyltestosterone.
Esomeprazole,Clopidogrel,Esomeprazole may decrease the antiplatelet activities of Clopidogrel.
Minoxidil,Acebutolol,The risk or severity of adverse effects can be increased when Minoxidil is combined with Acebutolol.
Minoxidil,Fosinopril,The risk or severity of adverse effects can be increased when Minoxidil is combined with Fosinopril.
Minoxidil,Isoxsuprine,The risk or severity of adverse effects can be increased when Minoxidil is combined with Isoxsuprine.
Dexmedetomidine,Nitroglycerin,The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nitroglycerin.
Amifostine,Nitroglycerin,The risk or severity of adverse effects can be increased when Amifostine is combined with Nitroglycerin.
Chlorpromazine,Minoxidil,The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Minoxidil.
Lidocaine,Dezocine,The risk or severity of adverse effects can be increased when Lidocaine is combined with Dezocine.
Benzocaine,Oxprenolol,The risk or severity of adverse effects can be increased when Benzocaine is combined with Oxprenolol.
Benzocaine,Levetiracetam,The risk or severity of adverse effects can be increased when Benzocaine is combined with Levetiracetam.
Loratadine,Amoxapine,The risk or severity of adverse effects can be increased when Loratadine is combined with Amoxapine.
Lidocaine,Methsuximide,The risk or severity of adverse effects can be increased when Lidocaine is combined with Methsuximide.
Ledipasvir,Benzocaine,The serum concentration of Benzocaine can be increased when it is combined with Ledipasvir.
Clozapine,Benzocaine,The risk or severity of adverse effects can be increased when Clozapine is combined with Benzocaine.
Melatonin,Benzocaine,The risk or severity of adverse effects can be increased when Melatonin is combined with Benzocaine.
Temazepam,Benzocaine,The risk or severity of adverse effects can be increased when Temazepam is combined with Benzocaine.
Mephentermine,Dimenhydrinate,Mephentermine may decrease the sedative activities of Dimenhydrinate.
Triprolidine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Triprolidine is combined with Dimenhydrinate.
Cyclobenzaprine,Dimenhydrinate,The risk or severity of adverse effects can be increased when Cyclobenzaprine is combined with Dimenhydrinate.
Diazepam,Dimenhydrinate,The risk or severity of adverse effects can be increased when Diazepam is combined with Dimenhydrinate.
Butorphanol,Loratadine,The risk or severity of adverse effects can be increased when Butorphanol is combined with Loratadine.
Mirtazapine,Loratadine,Mirtazapine may increase the central nervous system depressant (CNS depressant) activities of Loratadine.
Clotrimazole,Efonidipine,The risk or severity of adverse effects can be increased when Clotrimazole is combined with Efonidipine.
Propafenone,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Propafenone.
Rilpivirine,Lidocaine,The serum concentration of Lidocaine can be increased when it is combined with Rilpivirine.
Ketamine,Lidocaine,The risk or severity of adverse effects can be increased when Ketamine is combined with Lidocaine.
Lorcaserin,Lidocaine,The metabolism of Lidocaine can be decreased when combined with Lorcaserin.
Nitroglycerin,Vardenafil,Nitroglycerin may increase the vasodilatory activities of Vardenafil.
Primaquine,Caffeine,The metabolism of Caffeine can be decreased when combined with Primaquine.
Clomipramine,Caffeine,The metabolism of Caffeine can be decreased when combined with Clomipramine.
Sertraline,Caffeine,The metabolism of Caffeine can be decreased when combined with Sertraline.
Cortisone acetate,Ethinylestradiol,The serum concentration of Ethinylestradiol can be increased when it is combined with Cortisone acetate.
Sodium chloride,Tolvaptan,The risk or severity of adverse effects can be increased when Sodium chloride is combined with Tolvaptan.
Dimenhydrinate,Milnacipran,The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Milnacipran.
Pentamidine,Famotidine,Pentamidine may increase the QTc-prolonging activities of Famotidine.
Haloperidol,Famotidine,Haloperidol may increase the QTc-prolonging activities of Famotidine.
Minoxidil,Enalaprilat,Minoxidil may increase the hypotensive activities of Enalaprilat.
Hydrocortisone,Metoclopramide,The risk or severity of adverse effects can be increased when Hydrocortisone is combined with Metoclopramide.
Fluticasone propionate,Demecarium,The risk or severity of adverse effects can be increased when Fluticasone propionate is combined with Demecarium.
Norfloxacin,Calcium carbonate,Norfloxacin can cause a decrease in the absorption of Calcium carbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.
Pirfenidone,Cortisone acetate,The risk or severity of adverse effects can be increased when Pirfenidone is combined with Cortisone acetate.
Etofenamate,Cortisone acetate,The risk or severity of adverse effects can be increased when Etofenamate is combined with Cortisone acetate.
Ergometrine,Cortisone acetate,The risk or severity of adverse effects can be increased when Ergometrine is combined with Cortisone acetate.
Aminosalicylic acid,Cortisone acetate,The risk or severity of adverse effects can be increased when Aminosalicylic acid is combined with Cortisone acetate.
Sulpiride,Fluticasone propionate,The risk or severity of adverse effects can be increased when Sulpiride is combined with Fluticasone propionate.
Resveratrol,Fluticasone propionate,The risk or severity of adverse effects can be increased when Resveratrol is combined with Fluticasone propionate.
Sulindac,Fluticasone propionate,The risk or severity of adverse effects can be increased when Sulindac is combined with Fluticasone propionate.
Amobarbital,Fluticasone propionate,The risk or severity of adverse effects can be increased when Amobarbital is combined with Fluticasone propionate.
Prochlorperazine,Fluticasone propionate,The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Fluticasone propionate.
Methocarbamol,Fluticasone propionate,The risk or severity of adverse effects can be increased when Methocarbamol is combined with Fluticasone propionate.
Butalbital,Fluticasone propionate,The risk or severity of adverse effects can be increased when Butalbital is combined with Fluticasone propionate.
Chloral hydrate,Fluticasone propionate,The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Fluticasone propionate.
Salicylic acid,Etidronic acid,The risk or severity of adverse effects can be increased when Salicylic acid is combined with Etidronic acid.
Ibuprofen,Prednicarbate,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Prednicarbate.
Magnesium hydroxide,Prednicarbate,The bioavailability of Prednicarbate can be decreased when combined with Magnesium hydroxide.
Ibuprofen,Flurandrenolide,The risk or severity of adverse effects can be increased when Ibuprofen is combined with Flurandrenolide.
Magnesium hydroxide,Medrysone,The bioavailability of Medrysone can be decreased when combined with Magnesium hydroxide.
Doxorubicin,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Doxorubicin.
Bedaquiline,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Bedaquiline.
Vardenafil,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Vardenafil.
Fentanyl,Clotrimazole,The serum concentration of Clotrimazole can be increased when it is combined with Fentanyl.
Indacaterol,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Indacaterol.
Chlorzoxazone,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Chlorzoxazone.
Nelfinavir,Clotrimazole,The metabolism of Clotrimazole can be decreased when combined with Nelfinavir.
Nicotine,Ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Nicotine.
Lidocaine,Isradipine,The metabolism of Isradipine can be decreased when combined with Lidocaine.
Ibuprofen,Bortezomib,The metabolism of Bortezomib can be decreased when combined with Ibuprofen.
Nevirapine,Nicotine,The metabolism of Nicotine can be increased when combined with Nevirapine.
Pyridostigmine,Nicotine,The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Nicotine.
Nicotine,Clarithromycin,The metabolism of Clarithromycin can be decreased when combined with Nicotine.
Hydrocortisone,Fosamprenavir,The metabolism of Fosamprenavir can be decreased when combined with Hydrocortisone.
Caffeine,Lovastatin,The metabolism of Lovastatin can be decreased when combined with Caffeine.
Lidocaine,Cobicistat,The serum concentration of Cobicistat can be increased when it is combined with Lidocaine.
Hydrocortisone,Posaconazole,The metabolism of Posaconazole can be decreased when combined with Hydrocortisone.
Hydrocortisone,Boceprevir,The metabolism of Boceprevir can be decreased when combined with Hydrocortisone.
Omeprazole,Voriconazole,The serum concentration of Voriconazole can be increased when it is combined with Omeprazole.
Famotidine,Mifepristone,Famotidine may increase the QTc-prolonging activities of Mifepristone.
Esomeprazole,Osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Esomeprazole.
